TimeGenerated,EventCode,EventType,AccountName,SourceIP,LogonType,Message
2026-05-19 10:00:00,4624,Successful Login,Administrator,10.0.0.5,3,An account was successfully logged on.
2026-05-19 10:01:00,4624,Successful Login,john,10.0.0.5,3,An account was successfully logged on.
2026-05-19 10:02:00,4624,Successful Login,admin,10.0.0.5,3,An account was successfully logged on.
2026-05-19 10:03:00,4624,Successful Login,Administrator,10.0.0.5,3,An account was successfully logged on.
2026-05-19 10:04:00,4624,Successful Login,guest,172.16.1.20,3,An account was successfully logged on.
2026-05-19 10:05:00,4624,Successful Login,Administrator,10.0.0.5,3,An account was successfully logged on.
2026-05-19 10:06:00,4624,Successful Login,Administrator,10.0.0.5,3,An account was successfully logged on.
2026-05-19 10:07:00,4624,Successful Login,admin,10.0.0.5,3,An account was successfully logged on.
2026-05-19 10:08:00,4624,Successful Login,guest,10.0.0.5,3,An account was successfully logged on.
2026-05-19 10:09:00,4624,Successful Login,guest,172.16.1.20,3,An account was successfully logged on.
2026-05-19 10:10:00,4624,Successful Login,admin,172.16.1.20,3,An account was successfully logged on.
2026-05-19 10:11:00,4624,Successful Login,guest,172.16.1.20,3,An account was successfully logged on.
2026-05-19 10:12:00,4624,Successful Login,Administrator,10.0.0.5,3,An account was successfully logged on.
2026-05-19 10:13:00,4624,Successful Login,test,172.16.1.20,3,An account was successfully logged on.
2026-05-19 10:14:00,4624,Successful Login,john,10.0.0.5,3,An account was successfully logged on.
2026-05-19 10:15:00,4624,Successful Login,admin,172.16.1.20,3,An account was successfully logged on.
2026-05-19 10:16:00,4624,Successful Login,Administrator,10.0.0.5,3,An account was successfully logged on.
2026-05-19 10:17:00,4624,Successful Login,test,10.0.0.5,3,An account was successfully logged on.
2026-05-19 10:18:00,4624,Successful Login,john,172.16.1.20,3,An account was successfully logged on.
2026-05-19 10:19:00,4624,Successful Login,guest,172.16.1.20,3,An account was successfully logged on.
2026-05-19 10:20:00,4624,Successful Login,Administrator,172.16.1.20,3,An account was successfully logged on.
2026-05-19 10:21:00,4624,Successful Login,guest,10.0.0.5,3,An account was successfully logged on.
2026-05-19 10:22:00,4624,Successful Login,test,10.0.0.5,3,An account was successfully logged on.
